t,p_x,p_y,p_z
9.96,9.615952400061738,0.7041162481900456,4.74152139590032
10.0,9.666761129128481,0.6879357845173086,4.737689759734291
10.040000000000001,9.717237210734687,0.6712721027099641,4.734063236339464
10.08,9.767316884715521,0.6537044584880883,4.730624582594958
10.120000000000001,9.81695470446619,0.6349426025583844,4.727360986921671
10.16,9.866113185461536,0.6147130612769431,4.724254215492901
10.200000000000001,9.91476654516109,0.5928355832378495,4.721291805589462
10.24,9.962895371252586,0.5691476655519343,4.718459901409081
10.28,10.010496450595392,0.5435604473461754,4.715753154316512
10.32,10.057574436281186,0.5160015073500767,4.713166883789499
10.36,10.104134096922797,0.4864449593162236,4.710702009364226
10.4,10.15017447811316,0.45487016465770375,4.7083580452428535
10.44,10.195697304981076,0.42129059942991953,4.706138276789634
10.48,10.240706088980248,0.3857197863128279,4.704047342492519
10.52,10.285204532910482,0.34819098809770294,4.702092773092441
10.56,10.329193785719095,0.3087441293914785,4.700282440488874
10.6,10.372678604416906,0.26744070032368356,4.698625269757809
10.64,10.415668834887402,0.22434930159168137,4.697129580783899
10.68,10.458174928673529,0.17954679979266788,4.69580547683086
10.72,10.500197366828388,0.1331099838114908,4.694662601529102
10.76,10.541732471033725,0.08513273868139613,4.6937112651815
10.8,10.582783619574398,0.03571701389570313,4.692961316701923
10.84,10.623359886507487,-0.015029812710306461,4.6924241700867215
10.88,10.663465447293497,-0.06700527050093219,4.692167525797424
10.92,10.703168457986527,-0.11973193579514294,4.692257638500185
10.96,10.742622414946721,-0.17227816290877546,4.692716323633183
11.0,10.781946866987989,-0.22396009546634124,4.693531488237172
11.040000000000001,10.821397308847427,-0.2738763697088818,4.694621033233747
11.08,10.86137813364346,-0.3209407027074349,4.69582100226145
11.120000000000001,10.902177869245406,-0.36435560857550847,4.6969564562990485
11.16,10.944022701251578,-0.4035339397497926,4.6978592682837315
11.200000000000001,10.987052372684863,-0.4380984289947368,4.698406122397472
11.24,11.031359581325116,-0.4678383303815079,4.698513695846022
11.28,11.07697597047422,-0.49269633558390763,4.698148589885936
11.32,11.123902303507954,-0.5127294398631511,4.697316360547125
